,name,nationality
221,Tatjana Paller,DE
222,Claudio Passarelli,DE
223,Paulina Paszek,DE
224,Maik Petzold,DE
225,Stefan Pfeiffer,DE
226,Mark Pinger,DE
227,Wolfgang Platzeck,DE
228,Manfred Poerschke,DE
229,Günther Pohl,DE
230,Klaus Porbadnik,DE
231,Christian Poswiat,DE
232,Uwe Potteck,DE
233,Richard Ratka,DE
234,Charlotte Reinhardt,DE
235,Torsten Reißmann,DE
236,Christopher Reitz,DE
237,Peter Remmel,DE
238,Heinrich XIII Prinz Reuss,DE
239,Julia Ritter,DE
240,Markus Ritter,DE
241,Klaus Rogge,DE
242,Andre Rohde,DE
243,Yarden Roman-Gat,DE
244,Klaus Rost,DE
245,Nils Rudolph,DE
246,Bernhard Rühling,DE
247,Mayada Al-Sayad,DE
248,Robert Schäfer,DE
249,Waldemar Schanz,DE
250,Marc Schaub,DE
251,Jürgen Scheibe,DE
252,Daniel Scheil,DE
253,Tobias Schellenberg,DE
254,Markus Scherer,DE
255,Martin Schindler,DE
256,Peter Schlatter,DE
257,Günter Schliwka,DE
258,Andreas Schlütter,DE
259,Stefan Schmid,DE
260,Iris Schmidbauer,DE
261,Andreas Schmidt (swimmer),DE
262,Martin Schmidt (judoka),DE
263,Nico Schmidt,DE
264,Sebastian Schmidt (luger),DE
265,Arthur Schnabel,DE
266,Konstantin Schneider,DE
267,Willi Schneider (skeleton racer),DE
268,Gerd Schönfelder,DE
269,Stephan Schreck,DE
270,Andreas Schröder,DE
271,Christian Schulte,DE
272,Leonie Schwertmann,DE
273,Adolf Seger,DE
274,Rolf Sieber,DE
275,Steffen Skel,DE
276,Siegmund Soicke,DE
277,Torsten Spanneberg,DE
278,Fritz Stange,DE
279,Stefan Stankalla,DE
280,Walter Steffens (gymnast),DE
281,Daniel Stephan,DE
282,Lutz Stoklasa,DE
283,Klaus-Peter Stollberg,DE
284,Volker Struth,DE
285,Laura Süßemilch,DE
286,Andreas Szigat,DE
287,Klaus Täuber,DE
288,Katrin Thoma,DE
289,Frank Tinnemeier,DE
290,Richard Trautmann,DE
291,Daniel Tyrkas,DE
292,Jörg Vaihinger,DE
293,Hans-Jürgen Veil,DE
294,Alois Vogl,DE
295,Jens Volkmann,DE
296,Matthias Volz,DE
297,Hannes Wagner,DE
298,Wolfgang Wagner (swimmer),DE
299,Christof Wandratsch,DE
300,Lutz Wanja,DE
301,Florian Wanner,DE
302,Mark Warnecke,DE
303,Peter Weber (gymnast),DE
304,Heinz-Helmut Wehling,DE
305,Sophie Weißenberg,DE
306,Andreas Wels,DE
307,Frank Wennmann,DE
308,Frank Wiegand,DE
309,Frank Wieneke,DE
310,Sabine Winter,DE
311,Alexander Wolf,DE
312,René Wolff,DE
313,Rıfat Yıldız,DE
314,Jannis Zamanduridis,DE
315,Thomas Zander (wrestler),DE
316,Martin Zawieja,DE
317,Steffen Zesner,DE
318,Rainer Zietlow,DE
319,Bengt Zikarsky,DE
320,Björn Zikarsky,DE
321,Aline Abboud,DE
322,Maria de Alvear,DE
323,Daniela Andrier,DE
324,Chaya Arbel,DE
325,Christiane Arp,DE
326,Pinar Atalay,DE
327,Margit Auer,DE
328,Elvira Bach,DE
329,Eva Backofen,DE
330,Susanne Baer,DE
331,Gabi Bauer,DE
332,Helga Baum,DE
333,Karin Baumeister-Rehm,DE
334,Irene Becker,DE
335,Gisela Beker,DE
336,Inge Bell,DE
337,Sibylle Bergemann,DE
338,Dagmar Berghoff,DE
339,Hedwig von Beverfoerde,DE
340,Beate Bischler,DE
341,Kristin Bochröder,DE
342,Monika Boehm-Tettelbach,DE
343,Inge von Bönninghausen,DE
344,Bettina Böttinger,DE
345,Silvia Bovenschen,DE
346,Kerstin Brachtendorf,DE
347,Angelika Brand,DE
348,Ramona Brussig,DE
349,Maria Buchinger,DE
350,Peggy Büchse,DE
351,Traude Bührmann,DE
352,Eleonore Büning,DE
353,Monika Cassens,DE
354,Małgorzata Chodakowska,DE
355,Birgit Dahlenburg,DE
356,Daniela Dahn,DE
357,Anke Dannowski,DE
358,Simone Dede Ayivi,DE
359,Helga Dietrich,DE
360,Annette Dittert,DE
361,Petra Dortmund,DE
362,Angelika Dreock-Käser,DE
363,Iris Ebling,DE
364,Marie Eggeling,DE
365,Iris Eichenberg,DE
366,Tanja Eisner,DE
367,Lena Endesfelder,DE
368,Elisabeth Esterl,DE
369,Ulrike Fitzer,DE
370,Annabella Fleck,DE
371,Irmgard Furchner,DE
372,Gertraud Geißler,DE
373,Katja Gerber,DE
374,Annette Gerlach,DE
375,Petra Gerster,DE
376,Constance Grewe,DE
377,Tanja Gröpper,DE
378,Juli Gudehus,DE
379,Emily Haber,DE
380,Beate Habetz,DE
381,Andrea Hanak,DE
382,Dörte Hansen,DE
383,Nino Haratischwili,DE
384,Eva Harth,DE
385,Andrea Hegen,DE
386,Nanna Heitmann,DE
387,Eva Herman,DE
388,Tanja Hess,DE
389,Mathilde Heuing,DE
390,Vera Hilger,DE
391,Maybrit Illner,DE
392,Renate Jaeger,DE
393,Sigrid Jahns,DE
394,Katrin Jäke,DE
395,Gerlinde Jänicke,DE
396,Nadine Joachim,DE
397,Luc Jochimsen,DE
398,Julia Jung,DE
399,Christel Justen,DE
400,Regine Kahmann,DE
401,Kathrin Klamroth,DE
402,Disappearance of Yolanda Klug,DE
403,Tanit Koch,DE
404,Margarete Koppers,DE
405,Bogna Koreng,DE
406,Kit Kovacs,DE
407,Tanja Krienke,DE
408,Gabriele Krone-Schmalz,DE
409,Maria Kublitz-Kramer,DE
410,Mayako Kubo,DE
411,Angela Lampe,DE
412,Tanja Lange,DE
413,Silke Langenberg,DE
414,Christine Langenfeld,DE
415,Susanne Laschet,DE
416,Annette Leo,DE
417,Monica Lierhaus,DE
418,Jutta Limbach,DE
419,Corinna Löckenhoff,DE
420,Sandra Maischberger,DE
421,Henriette Manigk,DE
422,Astrid Mannes,DE
423,Sophia Martineck,DE
424,Andrea Marzi,DE
425,Petra Mattheis,DE
426,Heike Melchior,DE
427,Kristin Merscher,DE
428,Catherine Meusburger,DE
429,Ilsemarie Meyer,DE
430,Sonia Seymour Mikich,DE
431,Caren Miosga,DE
432,Regine Mispelkamp,DE
433,Claudia Molitor,DE
434,Friederike Moltmann,DE
435,Sabine Moritz,DE
436,Katrin Müller-Hohenstein,DE
437,Grit Müller,DE
438,Barbara Hahlweg,DE
439,Edda Neele,DE
440,Sarah Nemtsov,DE
441,Karin Neugebauer,DE
442,Anja Niedringhaus,DE
443,Simone Nieweg,DE
444,Karola Obermueller,DE
445,Margareth Obexer,DE
446,"Olympia, Princess Napoléon",DE
447,Birgitt Ory,DE
448,Lerke Osterloh,DE
449,Margit Osterloh,DE
450,Mona Asuka Ott,DE
451,Regina Palkovits,DE
452,Pamela Reif,DE
453,Anja Petersen,DE
454,Elke Philipp,DE
455,Monika Piel,DE
456,Ines Pohl,DE
457,Olúmìdé Pópóọlá,DE
458,Nadine Poss,DE
459,Lilli Pöttrich,DE
460,Anneliese Probst,DE
461,Anne-Katrin Purkiss,DE
462,Christiane Putzich,DE
463,Iris Radisch,DE
464,Janet Radünzel,DE
465,Judith Rakers,DE
466,Katharina Rapp,DE
467,Karin Reich,DE
468,Marie Reiners,DE
469,Jana Revedin,DE
470,Monika Rhein,DE
471,Evelyn Richter,DE
472,Monique Riekewald,DE
473,Carmen Rischer,DE
474,Christiana Rosenberg,DE
475,Dagmar Rosenfeld,DE
476,Margit Rösler,DE
477,Ulla Irina Rossek,DE
478,Nina Ruge,DE
479,Erich Saling,DE
480,Lisa Sauermann,DE
481,Bettina Schausten,DE
482,Iris ter Schiphorst,DE
483,Ariadne von Schirach,DE
484,Regina Schleicher,DE
485,Christa Schleper,DE
486,Manuela Schmermund,DE
487,Helga Schmid,DE
488,Julia Schmidt,DE
489,Doris Schoettler-Boll,DE
490,Marita Scholz,DE
491,Annelis Schreiber,DE
492,Franziska Schreiber,DE
493,Maria Schwarz,DE
494,Naomi Seibt,DE
495,Annabelle Selldorf,DE
496,Natalie Simanowski,DE
497,Marietta Slomka,DE
498,Bettina Stangneth,DE
499,Franziska Stark,DE
500,Marianne Stuwe,DE
501,Katrin Tent,DE
502,Jana Thiel,DE
503,Maria Theresia Thurn und Taxis,DE
504,Olivia Trummer,DE
505,Larissa Vassilian,DE
506,Dorothee Vieth,DE
507,Carmen Vincelj,DE
508,Tatjana Višak,DE
509,Julia Voss,DE
510,Rebecca Waldecker,DE
511,Claudia Waldi,DE
512,Bettina Walter,DE
513,Susanne Wasum-Rainer,DE
514,Anne Weber,DE
515,Helma Wennemers,DE
516,Linda Wenzel,DE
517,Christine Westermann,DE
518,Thyra von Westernhagen,DE
519,Brigitta Westphal,DE
520,Anne Will,DE
521,Nicola Winter,DE
522,Ramona Wulf,DE
523,Xu Pei,DE
524,Ruth Zechlin,DE
525,Linda Zervakis,DE
526,Annika Zimmermann,DE
527,Annelore Zinke,DE
528,Isabel Abedi,DE
529,Aria Aber,DE
530,Soraya Alekozei,DE
531,Diana Amft,DE
532,Emma Andijewska,DE
533,Ann Catrin Apstein-Müller,DE
534,Birgit Aschmann,DE
535,Katrin Askan,DE
536,Tayo Awosusi-Onutor,DE
537,Anita Awosusi,DE
538,Fatma Aydemir,DE
539,Zsuzsa Bánk,DE
540,María Cecilia Barbetta,DE
541,Jutta Bauer,DE
542,Kerstin Becker,DE
543,Monika Bednarek,DE
544,Maria Beig,DE
545,Nadja Benaissa,DE
546,Ann-Kathrin Bendixen,DE
547,Halina Bendkowski,DE
548,Hanne Bergius,DE
549,Alexandra Bernhardt,DE
550,Pieke Biermann,DE
551,Dörthe Binkert,DE
552,Brigitte Birnbaum,DE
553,Brigitte Blobel,DE
554,Marica Bodrožić,DE
555,Marion Böker,DE
556,Andrea Böhm,DE
557,Kirsten Boie,DE
558,Emily Bold,DE
559,Katy Börner,DE
560,Mechtild Borrmann,DE
561,Nora Bossong,DE
562,Heike Brandt,DE
563,Ilse Gräfin von Bredow,DE
564,Sonja Brentjes,DE
565,Kerstin Brückweh,DE
566,Christine von Brühl,DE
567,Christine Büchner,DE
568,Oksana Bulgakowa,DE
569,Mercedes Bunz,DE
570,Françoise Cactus,DE
571,Rita Casale,DE
572,Alice Creischer,DE
573,Rose Marie Dähncke,DE
574,Caroline Daur,DE
575,Miriam Davoudvandi,DE
576,Yvonne de Bark,DE
577,Sabine Deitmer,DE
578,Inge Deutschkron,DE
579,Barbara Dickmann,DE
580,Dorothea Dieckmann,DE
581,Sarah Diehl,DE
582,Gabriele Dietze,DE
583,Georgia Doll,DE
584,Thea Dorn,DE
585,Christine Downing,DE
586,Anne Duden,DE
587,Renate Dürr,DE
588,Karen Duve,DE
589,Marliese Echner-Klingmann,DE
590,Erika Eichenseer,DE
591,Katja Eichinger,DE
592,Angela Elis,DE
593,Susanna Elm,DE
594,Giulia Enders,DE
595,Ute Erb,DE
596,Jenny Erpenbeck,DE
597,Nora Fingscheidt,DE
598,Svenja Flaßpöhler,DE
599,Gisela Forster,DE
600,Luisa Francia,DE
601,Renate Freund,DE
602,Amelie Fried,DE
603,Vera Friedländer,DE
604,Pea Fröhlich,DE
605,Cornelia Funke,DE
606,Anneli Ute Gabanyi,DE
607,Rebecca Gablé,DE
608,Bettina Gaus,DE
609,Miriam Gebhardt,DE
610,Heike Geissler,DE
611,Nina George,DE
612,Gisela Getty,DE
613,Kerstin Gier,DE
614,Christiane Gohl,DE
615,Elisabeth Gössmann,DE
616,Sigrid Grabner,DE
617,Natalie Grams,DE
618,Olga Grjasnowa,DE
619,Aldona Gustas,DE
620,Meredith Haaf,DE
621,Katharina Hacker,DE
622,Anna Katharina Hahn,DE
623,Brigitte Hamann,DE
624,Petra Hammesfahr,DE
625,Hanna Lakomy,DE
626,Theresa Hannig,DE
627,Hadija Haruna-Oelker,DE
628,Elahe Haschemi Yekani,DE
629,Alice Hasters,DE
630,Frigga Haug,DE
631,Gaby Hauptmann,DE
632,Ursula Haverbeck,DE
633,Martina Hefter,DE
634,Helene Hegemann,DE
635,Irène Heidelberger-Leonard,DE
636,Uta-Maria Heim,DE
637,Dora Heldt,DE
638,Annette Henninger,DE
639,Kerstin Hensel,DE
640,Hanna Herbst,DE
641,Imogen Rhia Herrad,DE
642,Andrea Heuser,DE
643,Marie Sophie Hingst,DE
644,Christel Hoffmann,DE
645,Heike Hohlbein,DE
646,Barbara Honigmann,DE
647,Felicitas Hoppe,DE
648,Cornelia Horn,DE
649,Katja Hoyer,DE
650,Lorna Hutson,DE
651,Annette Imhausen,DE
652,Jae (author),DE
653,Anja Jantschik,DE
654,Ricarda Junge,DE
655,Gerlinde Kämmerer,DE
656,Ines Kappert,DE
657,Deniz Kayadelen,DE
658,Sandra Keck,DE
659,Georgine Kellermann,DE
660,Charlotte Kerner,DE
661,Jasmin Khezri,DE
662,Tanja Kinkel,DE
663,Diana Kinnert,DE
664,Sabine Klewe,DE
665,Freya Klier,DE
666,Ines Köhler-Zülch,DE
667,Karen Köhler,DE
668,Chris Köver,DE
669,Dagmara Kraus,DE
670,Ursula Krechel,DE
671,Brigitte Kronauer,DE
672,Şeyda Kurt,DE
673,Nuray Lale,DE
674,Katja Lange-Müller,DE
675,Nhi Le,DE
676,Birgit Lechtermann,DE
677,Herta Leistner,DE
678,Gabriele Lesser,DE
679,Sibylle Lewitscharoff,DE
680,Hanna Leybrand,DE
681,Irina Liebmann,DE
682,Angela Litschev,DE
683,Dea Loher,DE
684,Isabell Lorey,DE
685,Ute Lotz-Heumann,DE
686,Christina Lubinski,DE
687,Johanna Ludwig,DE
688,Vera Ludwig,DE
689,Anne Maar,DE
690,Heidrun E. Mader,DE
691,Inger-Maria Mahlke,DE
692,Eva Maler,DE
693,Liselotte Marshall,DE
694,Carola Matthiesen,DE
695,Heike Mauer,DE
696,Anna-Katharina Messmer,DE
697,Christa Meves,DE
698,Sudabeh Mohafez,DE
699,Petra Morsbach,DE
700,Monika Motsch,DE
701,Ann-Katrin Müller,DE
702,Herta Müller,DE
703,Nadia Murad,DE
704,Hildegard Maria Nickel,DE
705,Susanne Nies,DE
706,Ulrike Nolte,DE
707,Brigitte Oleschinski,DE
708,Leonie Ossowski,DE
709,Katja Oskamp,DE
710,Angelika Overath,DE
711,Emine Sevgi Özdamar,DE
712,Micaela Jary,DE
713,Anne Pätzke,DE
714,Annette Pehnt,DE
715,Meike Peters,DE
716,Maria J. Pfannholz,DE
717,Miriam Pielhau,DE
718,Ulla Plener,DE
719,Marion Poschmann,DE
720,Kerstin Preiwuß,DE
721,Mirjam Pressler,DE
722,Luise F. Pusch,DE
723,Sigrid Quack,DE
724,Zana Ramadani,DE
725,Juliane Rebentisch,DE
726,Doris Reisinger,DE
727,Simone Rethel,DE
728,Jutta Richter,DE
729,Brigitte Riebe,DE
730,Ariane Riecker,DE
731,Eva Rieger,DE
732,Leona Riemann,DE
733,Alexandra Rietz,DE
734,Monika Rinck,DE
735,Viola Roggenkamp,DE
736,Bettina Röhl,DE
737,Slata Roschal,DE
738,Friederike Roth,DE
739,Barbara Rütting,DE
740,Marianna Salzmann,DE
741,Sara Schätzl,DE
742,Regina Scheer,DE
743,Barbara Schellhammer,DE
744,Andrea Maria Schenkel,DE
745,Silke Scheuermann,DE
746,Eva Schlotheuber,DE
747,Viktoria Schmidt-Linsenhoff,DE
748,Sabine Schmidtke,DE
749,Elke Schmitter,DE
750,Karla Schneider,DE
751,Renate Schostack,DE
752,Julia Schramm,DE
753,Konstanze von Schulthess,DE
754,Marianne Schuppe,DE
755,Alice Schwarzer,DE
756,Ulrike Schweikert,DE
757,Nina Sedano,DE
758,Daniela Seel,DE
759,Erika Simon,DE
760,Gesine Spieß,DE
761,Barbara Stambolis,DE
762,Ginka Steinwachs,DE
763,Ilka Stitz,DE
764,Leonie Swann,DE
765,Gerda Szepansky,DE
766,Anke te Heesen,DE
767,Sylke Tempel,DE
768,Michèle Tertilt,DE
769,Elisabeth von Thurn und Taxis,DE
770,Vera Troeger,DE
771,Ellen Ueberschär,DE
772,Anja Utler,DE
773,Birgit Vanderbeke,DE
774,Judith C. Vogt,DE
775,Dana von Suffrin,DE
776,Uli Waas,DE
777,Alissa Walser,DE
778,Bärbel Wartenberg-Potter,DE
779,Zoe Wees,DE
780,Erika Weinzierl,DE
781,Marianne Wellershoff,DE
782,Ruth Westheimer,DE
783,Angie Westhoff,DE
784,Charlotte Wiedemann,DE
785,Uljana Wolf,DE
786,Iris Wolff,DE
787,Barbara Yelin,DE
788,Judith Zander,DE
789,Juli Zeh,DE
790,Emira Abbes,DE
791,Katja Abel,DE
792,Sandra Abstreiter,DE
793,Sarah Abu-Sabbah,DE
794,Christina Ackermann,DE
795,Leonie Adam,DE
796,Mareike Adams,DE
797,Gina-Maria Adenauer,DE
798,Anja Adler,DE
799,Dilan Ağgül,DE
800,Emma Aicher,DE
801,Mara Alber,DE
